s	N   -
0,00	0,07	
0,02	0,10	
0,04	0,04	
0,06	0,06	
0,08	0,27	
0,10	0,02	
0,12	0,12	
0,14	0,03	
0,16	0,07	
0,18	0,32	
0,20	0,08	
0,22	0,23	
0,24	0,00	
0,26	0,16	
0,28	0,08	
0,30	0,06	
0,32	0,30	
0,34	0,22	
0,36	0,17	
0,38	0,01	
0,40	0,09	
0,42	0,09	
0,44	0,05	
0,46	0,29	
0,48	0,09	
0,50	0,12	
0,52	0,01	
0,54	0,07	
0,56	0,31	
0,58	0,16	
0,60	0,19	
0,62	0,15	
0,64	0,08	
0,66	0,20	
0,68	0,04	
0,70	0,35	
0,72	0,18	
0,74	0,12	
0,76	0,08	
0,78	0,05	
0,80	0,15	
0,82	0,17	
0,84	0,25	
0,86	0,10	
0,88	0,09	
0,90	0,08	
0,92	0,04	
0,94	0,36	
0,96	0,12	
0,98	0,15	
1,00	0,09	
1,02	0,04	
1,04	0,14	
1,06	0,03	
1,08	0,23	
1,10	0,07	
1,12	0,10	
1,14	0,07	
1,16	0,04	
1,18	0,34	
1,20	0,02	
1,22	0,17	
1,24	0,06	
1,26	0,07	
1,28	0,21	
1,30	0,06	
1,32	0,22	
1,34	0,02	
1,36	0,12	
1,38	0,05	
1,40	0,18	
1,42	0,23	
1,44	0,18	
1,46	0,14	
1,48	0,00	
1,50	0,07	
1,52	0,04	
1,54	0,30	
1,56	0,10	
1,58	0,15	
1,60	0,09	
1,62	0,04	
1,64	0,33	
1,66	0,03	
1,68	0,20	
1,70	0,05	
1,72	0,09	
1,74	0,19	
1,76	0,03	
1,78	0,27	
1,80	0,02	
1,82	0,17	
1,84	0,03	
1,86	0,06	
1,88	0,32	
1,90	0,03	
1,92	0,21	
1,94	0,01	
1,96	0,11	
1,98	0,06	
2,00	0,17	
2,02	0,23	
2,04	0,15	
2,06	0,11	
2,08	0,01	
2,10	0,08	
2,12	0,08	
2,14	0,26	
2,16	0,12	
2,18	0,11	
2,20	0,07	
2,22	0,11	
2,24	0,24	
2,26	0,15	
2,28	0,18	
2,30	0,04	
2,32	0,07	
2,34	0,31	
2,36	0,01	
2,38	0,25	
2,40	0,01	
2,42	0,13	
2,44	0,09	
2,46	0,05	
2,48	0,29	
2,50	0,08	
2,52	0,13	
2,54	0,03	
2,56	0,07	
2,58	0,34	
2,60	0,11	
2,62	0,18	
2,64	0,01	
2,66	0,10	
2,68	0,06	
2,70	0,08	
2,72	0,22	
2,74	0,18	
2,76	0,04	
2,78	0,08	
2,80	0,05	
2,82	0,15	
2,84	0,27	
2,86	0,01	
2,88	0,14	
2,90	0,03	
2,92	0,05	
2,94	0,34	
2,96	0,02	
2,98	0,17	
3,00	0,01	
3,02	0,09	
3,04	0,17	
3,06	0,18	
3,08	0,21	
3,10	0,18	
3,12	0,10	
3,14	0,04	
3,16	0,05	
3,18	0,35	
3,20	0,13	
3,22	0,13	
3,24	0,05	
3,26	0,06	
3,28	0,22	
3,30	0,06	
3,32	0,23	
3,34	0,11	
3,36	0,08	
3,38	0,31	
3,40	0,05	
3,42	0,40	
3,44	0,11	
3,46	0,13	
3,48	0,06	
3,50	0,05	
3,52	0,38	
3,54	0,03	
3,56	0,25	
3,58	0,11	
3,60	0,07	
3,62	0,07	
3,64	0,03	
3,66	0,30	
3,68	0,02	
3,70	0,15	
3,72	0,05	
3,74	0,05	
3,76	0,38	
3,78	0,03	
3,80	0,26	
3,82	0,02	
3,84	0,11	
3,86	0,05	
3,88	0,34	
3,90	0,14	
3,92	0,20	
3,94	0,13	
3,96	0,07	
3,98	0,30	
4,00	0,04	
4,02	0,35	
4,04	0,10	
4,06	0,13	
4,08	0,07	
4,10	0,05	
4,12	0,43	
4,14	0,03	
4,16	0,27	
4,18	0,07	
4,20	0,09	
4,22	0,07	
4,24	0,18	
4,26	0,27	
4,28	0,01	
4,30	0,12	
4,32	0,04	
4,34	0,04	
4,36	0,35	
4,38	0,02	
4,40	0,16	
4,42	0,01	
4,44	0,09	
4,46	0,28	
4,48	0,07	
4,50	0,23	
4,52	0,01	
4,54	0,13	
4,56	0,01	
4,58	0,07	
4,60	0,31	
4,62	0,18	
4,64	0,16	
4,66	0,01	
4,68	0,07	
4,70	0,27	
4,72	0,18	
4,74	0,19	
4,76	0,15	
4,78	0,09	
4,80	0,09	
4,82	0,05	
4,84	0,35	
4,86	0,16	
4,88	0,13	
4,90	0,08	
4,92	0,05	
4,94	0,37	
4,96	0,03	
4,98	0,23	
5,00	0,08	
